chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	9825682	9825814	133	9825783	8.00	6.41454	4.79514	4.08859	macs2Out_peak_74
chr1	9850092	9850332	241	9850149	6.00	6.48649	4.92334	4.15748	macs2Out_peak_76
chr1	9907250	9907379	130	9907316	7.00	7.43644	5.45628	5.05544	macs2Out_peak_83
chr1	9997368	9997478	111	9997422	5.00	5.73218	4.44881	3.43616	macs2Out_peak_89
chr1	10038074	10038227	154	10038163	11.00	7.23953	4.84594	4.86600	macs2Out_peak_90
chr1	10089497	10089635	139	10089553	7.00	7.68113	5.58308	5.29079	macs2Out_peak_92
chr1	10254413	10254566	154	10254478	8.00	9.30103	6.43041	6.84382	macs2Out_peak_96
chr1	10386640	10386750	111	10386649	6.00	7.03765	5.19028	4.67190	macs2Out_peak_102
chr1	10539975	10540085	111	10540030	5.00	5.73218	4.44881	3.43616	macs2Out_peak_103
chr1	12836945	12837072	128	12837008	7.00	8.40048	5.93174	5.97408	macs2Out_peak_108
chr1	12876099	12876209	111	12876173	6.00	7.03765	5.19028	4.67190	macs2Out_peak_110
chr1	13012844	13012954	111	13012921	6.00	7.03765	5.19028	4.67190	macs2Out_peak_112
chr1	13125206	13125316	111	13125302	6.00	7.03765	5.19028	4.67190	macs2Out_peak_114
chr1	13319817	13319927	111	13319874	5.00	4.85121	4.00133	2.61971	macs2Out_peak_124
chr1	13343919	13344041	123	13344000	7.00	6.43930	4.89986	4.11237	macs2Out_peak_128
chr1	13360841	13360951	111	13360865	7.00	7.94643	5.71592	5.54579	macs2Out_peak_130
chr1	13363905	13364043	139	13363939	8.00	6.36968	4.76695	4.04589	macs2Out_peak_131
chr1	13426836	13427080	245	13426922	8.00	4.63531	3.65082	2.41531	macs2Out_peak_138
chr1	13521007	13521117	111	13521091	7.00	8.40048	5.93174	5.97408	macs2Out_peak_142
chr1	13555511	13555621	111	13555541	5.00	5.73218	4.44881	3.43616	macs2Out_peak_143
chr1	13601891	13602003	113	13601934	7.00	8.23594	5.85523	5.82403	macs2Out_peak_147
chr1	13706473	13706583	111	13706518	7.00	8.40048	5.93174	5.97408	macs2Out_peak_151
chr1	13984951	13985104	154	13985023	9.00	7.73747	5.49028	5.34517	macs2Out_peak_158
chr1	14017057	14017167	111	14017090	7.00	8.40048	5.93174	5.97408	macs2Out_peak_159
chr1	14309914	14310036	123	14309932	6.00	6.89441	5.12333	4.54714	macs2Out_peak_169
chr1	14582548	14582675	128	14582606	10.00	7.67521	5.29687	5.28557	macs2Out_peak_171
chr1	14590860	14591009	150	14590924	10.00	9.65965	6.51582	7.19020	macs2Out_peak_172
chr1	14630550	14630660	111	14630590	6.00	7.03765	5.19028	4.67190	macs2Out_peak_174
chr1	14924942	14925104	163	14925023	6.00	7.03765	5.19028	4.67190	macs2Out_peak_177
chr1	14959521	14959631	111	14959561	7.00	8.40048	5.93174	5.97408	macs2Out_peak_178
chr1	16059868	16059982	115	16059940	7.00	8.40048	5.93174	5.97408	macs2Out_peak_183
chr1	16104322	16104432	111	16104375	8.00	5.13130	3.97281	2.88602	macs2Out_peak_185
chr1	16110985	16111111	127	16111089	8.00	8.07750	5.78778	5.67196	macs2Out_peak_188
chr1	16187516	16187731	216	16187654	6.00	6.80785	5.08204	4.46415	macs2Out_peak_192
chr1	16220250	16220420	171	16220313	7.00	7.59743	5.54017	5.21007	macs2Out_peak_194
chr1	16688915	16689028	114	16688972	14.00	6.42159	3.88219	4.09548	macs2Out_peak_214
chr1	16696664	16696830	167	16696754	9.00	9.77124	6.66889	7.29790	macs2Out_peak_215
chr1	16812835	16813022	188	16812929	6.00	7.03765	5.19028	4.67190	macs2Out_peak_221
chr1	16926976	16927110	135	16927062	7.00	8.40048	5.93174	5.97408	macs2Out_peak_222
chr1	17263053	17263163	111	17263101	7.00	8.40048	5.93174	5.97408	macs2Out_peak_225
chr1	17477480	17477590	111	17477521	7.00	8.40048	5.93174	5.97408	macs2Out_peak_228
chr1	17607252	17607395	144	17607318	12.00	9.70377	6.19372	7.23306	macs2Out_peak_229
chr1	17978980	17979090	111	17979009	7.00	8.40048	5.93174	5.97408	macs2Out_peak_231
chr1	20121134	20121244	111	20121203	6.00	7.03765	5.19028	4.67190	macs2Out_peak_234
chr1	20844358	20844468	111	20844408	6.00	7.03765	5.19028	4.67190	macs2Out_peak_239
chr1	20864367	20864477	111	20864417	6.00	7.03765	5.19028	4.67190	macs2Out_peak_240
chr1	20933588	20933698	111	20933634	6.00	6.72392	5.04141	4.38445	macs2Out_peak_245
chr1	20995668	20995892	225	20995729	6.00	6.72392	5.04141	4.38445	macs2Out_peak_248
chr1	21031752	21031896	145	21031804	12.00	8.42212	5.39486	5.99506	macs2Out_peak_252
chr1	21058313	21058437	125	21058373	7.00	8.33858	5.90319	5.92296	macs2Out_peak_256
chr1	21829943	21830107	165	21830041	8.00	8.72444	6.13832	6.28721	macs2Out_peak_264
chr1	21891545	21891655	111	21891596	6.00	7.03765	5.19028	4.67190	macs2Out_peak_267
chr1	21963559	21963721	163	21963625	8.00	9.40682	6.48181	6.94605	macs2Out_peak_268
chr1	23187860	23187970	111	23187886	6.00	6.41172	4.88520	4.08601	macs2Out_peak_269
chr1	23368041	23368151	111	23368114	7.00	8.40048	5.93174	5.97408	macs2Out_peak_274
chr1	23727952	23728062	111	23727981	6.00	7.03765	5.19028	4.67190	macs2Out_peak_282
chr1	23827950	23828060	111	23827994	6.00	7.03765	5.19028	4.67190	macs2Out_peak_284
chr1	23915674	23915793	120	23915705	6.00	6.56337	4.96208	4.23078	macs2Out_peak_286
chr1	23922390	23922510	121	23922430	9.00	7.57794	5.39171	5.19198	macs2Out_peak_288
chr1	23998222	23998340	119	23998303	7.00	8.40048	5.93174	5.97408	macs2Out_peak_290
chr1	24005598	24005708	111	24005678	7.00	6.27385	4.80192	3.95398	macs2Out_peak_292
chr1	24099938	24100051	114	24100005	8.00	6.64858	4.94125	4.31239	macs2Out_peak_293
chr1	24469649	24469786	138	24469737	4.00	3.55721	3.21543	1.43600	macs2Out_peak_295
chr1	24697930	24698055	126	24697985	11.00	9.71560	6.39352	7.24440	macs2Out_peak_301
chr1	24735993	24736114	122	24736026	7.00	8.40048	5.93174	5.97408	macs2Out_peak_304
chr1	24768119	24768229	111	24768150	5.00	5.73218	4.44881	3.43616	macs2Out_peak_305
chr1	24877761	24877871	111	24877818	7.00	8.40048	5.93174	5.97408	macs2Out_peak_306
chr1	25406844	25406954	111	25406950	6.00	7.03765	5.19028	4.67190	macs2Out_peak_308
chr1	26125374	26125484	111	26125430	5.00	5.73218	4.44881	3.43616	macs2Out_peak_309
chr1	26566017	26566127	111	26566068	7.00	8.40048	5.93174	5.97408	macs2Out_peak_310
chr1	27740416	27740526	111	27740468	7.00	8.40048	5.93174	5.97408	macs2Out_peak_312
chr1	28048014	28048130	117	28048102	7.00	8.40048	5.93174	5.97408	macs2Out_peak_313
chr1	30726259	30726369	111	30726304	6.00	7.03765	5.19028	4.67190	macs2Out_peak_315
chr1	30910334	30910444	111	30910395	6.00	7.03765	5.19028	4.67190	macs2Out_peak_318
chr1	30926413	30926535	123	30926463	11.00	8.87597	5.87257	6.43343	macs2Out_peak_319
chr1	30932416	30932526	111	30932433	8.00	6.36968	4.76695	4.04589	macs2Out_peak_321
chr1	30947634	30947801	168	30947708	11.00	7.71821	5.14580	5.32694	macs2Out_peak_322
chr1	31033970	31034159	190	31034057	6.00	6.41172	4.88520	4.08601	macs2Out_peak_326
chr1	31142307	31142417	111	31142394	6.00	6.64247	5.00143	4.30662	macs2Out_peak_332
chr1	31154093	31154203	111	31154126	5.00	5.73218	4.44881	3.43616	macs2Out_peak_333
chr1	31616709	31616819	111	31616766	7.00	8.40048	5.93174	5.97408	macs2Out_peak_334
chr1	33592649	33592774	126	33592678	8.00	9.09835	6.33000	6.64796	macs2Out_peak_344
chr1	33806096	33806213	118	33806149	7.00	8.40048	5.93174	5.97408	macs2Out_peak_348
chr1	33912670	33912858	189	33912739	6.00	7.03765	5.19028	4.67190	macs2Out_peak_359
chr1	34383420	34383546	127	34383450	6.00	6.72392	5.04141	4.38445	macs2Out_peak_361
chr1	34433309	34433468	160	34433384	13.00	9.33622	5.75682	6.87767	macs2Out_peak_364
chr1	34438881	34439005	125	34438917	21.00	9.64647	4.48321	7.17769	macs2Out_peak_366
chr1	34467638	34467755	118	34467707	24.00	8.65494	3.72834	6.22015	macs2Out_peak_371
chr1	34480858	34481053	196	34480992	14.00	8.95254	5.31839	6.50740	macs2Out_peak_376
chr1	34835828	34835947	120	34835888	17.00	9.76650	5.19600	7.29364	macs2Out_peak_388
chr1	34838462	34838572	111	34838539	15.00	7.84661	4.50324	5.45067	macs2Out_peak_389
chr1	34842959	34843069	111	34843010	16.00	9.37936	5.17252	6.91964	macs2Out_peak_392
chr1	34898931	34899041	111	34899012	7.00	8.40048	5.93174	5.97408	macs2Out_peak_399
chr1	34916946	34917056	111	34917000	6.00	7.03765	5.19028	4.67190	macs2Out_peak_400
chr1	35662122	35662233	112	35662190	7.00	8.40048	5.93174	5.97408	macs2Out_peak_403
chr1	35759826	35759940	115	35759896	7.00	7.76711	5.62667	5.37337	macs2Out_peak_404
chr1	35830306	35830416	111	35830374	7.00	8.40048	5.93174	5.97408	macs2Out_peak_410
chr1	35869597	35869815	219	35869775	5.00	5.39579	4.28694	3.13579	macs2Out_peak_413
chr1	35951137	35951307	171	35951216	8.00	9.19826	6.37981	6.74431	macs2Out_peak_416
chr1	35954702	35954812	111	35954767	5.00	5.68629	4.42739	3.41113	macs2Out_peak_417
chr1	36073702	36073832	131	36073755	15.00	9.42820	5.39684	6.96654	macs2Out_peak_427
chr1	36073958	36074068	111	36073991	12.00	6.82505	4.41801	4.48101	macs2Out_peak_428
chr1	36100758	36100880	123	36100803	8.00	9.19826	6.37981	6.74431	macs2Out_peak_430
chr1	36113815	36113925	111	36113858	6.00	6.33894	4.84765	4.01614	macs2Out_peak_432
chr1	36140126	36140236	111	36140210	6.00	7.03765	5.19028	4.67190	macs2Out_peak_439
chr1	36271786	36271900	115	36271827	17.00	8.35688	4.45390	5.94079	macs2Out_peak_448
chr1	36277378	36277528	151	36277465	14.00	8.74538	5.19570	6.30726	macs2Out_peak_450
chr1	36297437	36297563	127	36297472	5.00	5.39579	4.28694	3.13579	macs2Out_peak_452
chr1	36324180	36324291	112	36324258	9.00	8.45360	5.92347	6.02566	macs2Out_peak_456
chr1	36325865	36325991	127	36325895	6.00	5.05419	4.11934	2.81241	macs2Out_peak_457
chr1	36342653	36342763	111	36342719	6.00	7.03765	5.19028	4.67190	macs2Out_peak_460
chr1	36437339	36437486	148	36437389	9.00	8.32443	5.84659	5.90963	macs2Out_peak_465
chr1	36475667	36475792	126	36475727	11.00	8.21430	5.45752	5.80388	macs2Out_peak_473
chr1	36547315	36547437	123	36547365	5.00	5.61021	4.39142	3.33868	macs2Out_peak_476
chr1	36571864	36571992	129	36571923	10.00	8.86717	6.03931	6.42526	macs2Out_peak_479
chr1	36591551	36591763	213	36591584	7.00	8.04004	5.76161	5.63574	macs2Out_peak_481
chr1	36592730	36592880	151	36592799	8.00	8.81431	6.18514	6.37353	macs2Out_peak_482
chr1	36604313	36604502	190	36604404	6.00	6.33894	4.84765	4.01614	macs2Out_peak_483
chr1	36640698	36640818	121	36640740	6.00	7.03765	5.19028	4.67190	macs2Out_peak_485
chr1	36648557	36648689	133	36648635	8.00	9.62816	6.58713	7.15988	macs2Out_peak_486
chr1	36784756	36784866	111	36784772	5.00	5.73218	4.44881	3.43616	macs2Out_peak_494
chr1	36975979	36976093	115	36976021	7.00	8.33858	5.90319	5.92296	macs2Out_peak_510
chr1	36988228	36988338	111	36988289	12.00	8.26481	5.29726	5.85190	macs2Out_peak_512
chr1	37251405	37251591	187	37251510	8.00	8.55125	6.04676	6.11969	macs2Out_peak_518
chr1	37257708	37257833	126	37257765	7.00	8.40048	5.93174	5.97408	macs2Out_peak_519
chr1	37307028	37307158	131	37307076	13.00	7.81007	4.83075	5.41495	macs2Out_peak_524
chr1	37344618	37344728	111	37344670	8.00	5.95229	4.50225	3.64663	macs2Out_peak_532
chr1	37352585	37352710	126	37352633	6.00	4.64802	3.86676	2.42683	macs2Out_peak_533
chr1	37360728	37360838	111	37360786	8.00	6.55295	4.88175	4.22163	macs2Out_peak_535
chr1	37474180	37474342	163	37474287	14.00	8.67815	5.15606	6.24238	macs2Out_peak_543
chr1	37518439	37518549	111	37518504	5.00	5.68629	4.42739	3.41113	macs2Out_peak_552
chr1	37534752	37534862	111	37534817	7.00	7.51590	5.49790	5.13210	macs2Out_peak_553
chr1	37622077	37622283	207	37622187	4.00	4.49273	3.70734	2.27982	macs2Out_peak_561
chr1	37678489	37678602	114	37678564	7.00	8.40048	5.93174	5.97408	macs2Out_peak_562
chr1	37734992	37735111	120	37735045	7.00	8.40048	5.93174	5.97408	macs2Out_peak_564
chr1	37966888	37967007	120	37966953	6.00	7.03765	5.19028	4.67190	macs2Out_peak_570
chr1	37997872	37998122	251	37997944	12.00	7.96568	5.11227	5.56414	macs2Out_peak_572
chr1	38129098	38129271	174	38129194	8.00	7.93283	5.70632	5.53302	macs2Out_peak_581
chr1	38414349	38414470	122	38414391	7.00	8.40048	5.93174	5.97408	macs2Out_peak_584
chr1	38422510	38422629	120	38422553	7.00	8.40048	5.93174	5.97408	macs2Out_peak_585
chr1	38633393	38633557	165	38633480	8.00	8.38614	5.95790	5.96900	macs2Out_peak_591
chr1	38787604	38787731	128	38787661	7.00	7.59743	5.54017	5.21007	macs2Out_peak_594
chr1	38788174	38788284	111	38788210	7.00	7.51590	5.49790	5.13210	macs2Out_peak_595
chr1	38902719	38902841	123	38902799	6.00	7.03765	5.19028	4.67190	macs2Out_peak_596
chr1	39010755	39010881	127	39010780	5.00	5.01870	4.09221	2.77832	macs2Out_peak_601
chr1	39030263	39030387	125	39030300	7.00	8.40048	5.93174	5.97408	macs2Out_peak_602
chr1	39153498	39153619	122	39153544	7.00	8.04004	5.76161	5.63574	macs2Out_peak_607
chr1	39161233	39161365	133	39161308	8.00	8.07750	5.78778	5.67196	macs2Out_peak_609
chr1	39201558	39201686	129	39201610	10.00	8.46613	5.79222	6.03777	macs2Out_peak_611
chr1	39293018	39293128	111	39293090	9.00	5.41920	4.02026	3.15836	macs2Out_peak_620
chr1	39302345	39302465	121	39302427	9.00	6.31583	4.59432	3.99466	macs2Out_peak_621
chr1	39340787	39340897	111	39340847	6.00	6.48649	4.92334	4.15748	macs2Out_peak_628
chr1	39372605	39372715	111	39372661	12.00	8.00201	5.13469	5.59974	macs2Out_peak_631
chr1	39392346	39392460	115	39392420	7.00	8.40048	5.93174	5.97408	macs2Out_peak_633
chr1	39443768	39443878	111	39443843	6.00	7.03765	5.19028	4.67190	macs2Out_peak_635
chr1	39455792	39455902	111	39455833	6.00	7.03765	5.19028	4.67190	macs2Out_peak_636
chr1	39478804	39478920	117	39478864	14.00	8.74538	5.19570	6.30726	macs2Out_peak_639
chr1	39493170	39493320	151	39493264	11.00	7.56498	5.04965	5.17950	macs2Out_peak_642
chr1	39547243	39547354	112	39547295	9.00	9.01870	6.25234	6.57130	macs2Out_peak_649
chr1	39556204	39556346	143	39556299	8.00	6.69746	4.97155	4.35937	macs2Out_peak_650
chr1	39578734	39578875	142	39578804	22.00	6.88114	3.24222	4.53477	macs2Out_peak_654
chr1	39608571	39608826	256	39608716	10.00	8.92777	6.07634	6.48347	macs2Out_peak_660
chr1	39627633	39627767	135	39627693	8.00	7.66042	5.55007	5.27108	macs2Out_peak_665
chr1	39636810	39636920	111	39636838	10.00	6.58636	4.60733	4.25310	macs2Out_peak_668
chr1	39650049	39650162	114	39650112	13.00	9.68971	5.97499	7.21931	macs2Out_peak_669
chr1	39680692	39680802	111	39680764	5.00	5.73218	4.44881	3.43616	macs2Out_peak_672
chr1	39735975	39736106	132	39736040	14.00	8.77933	5.21576	6.34026	macs2Out_peak_683
chr1	39797280	39797397	118	39797341	8.00	8.81431	6.18514	6.37353	macs2Out_peak_693
chr1	39837792	39837927	136	39837848	10.00	8.20194	5.62775	5.79170	macs2Out_peak_696
chr1	39861381	39861569	189	39861486	7.00	6.93068	5.18168	4.58191	macs2Out_peak_700
chr1	39893295	39893527	233	39893394	16.00	8.45781	4.66802	6.02980	macs2Out_peak_701
chr1	39917604	39917714	111	39917627	16.00	6.13133	3.48797	3.81811	macs2Out_peak_708
chr1	39976256	39976381	126	39976297	8.00	7.86269	5.66644	5.46500	macs2Out_peak_718
chr1	40027393	40027503	111	40027450	7.00	8.33858	5.90319	5.92296	macs2Out_peak_721
chr1	40125142	40125258	117	40125164	7.00	7.76711	5.62667	5.37337	macs2Out_peak_732
chr1	40209185	40209295	111	40209238	7.00	8.40048	5.93174	5.97408	macs2Out_peak_736
chr1	40324493	40324617	125	40324552	15.00	5.97273	3.52353	3.66621	macs2Out_peak_749
chr1	40380177	40380371	195	40380279	9.00	8.07857	5.69866	5.67275	macs2Out_peak_755
chr1	40403448	40403558	111	40403527	13.00	7.84127	4.84932	5.44539	macs2Out_peak_758
chr1	40412518	40412725	208	40412660	12.00	6.55560	4.25741	4.22376	macs2Out_peak_762
chr1	40431297	40431407	111	40431390	7.00	8.40048	5.93174	5.97408	macs2Out_peak_765
chr1	40443548	40443658	111	40443570	8.00	6.84857	5.06472	4.50359	macs2Out_peak_766
chr1	40496882	40497033	152	40496933	7.00	5.92021	4.58795	3.61599	macs2Out_peak_771
chr1	40501661	40501771	111	40501730	8.00	7.40800	5.40216	5.02843	macs2Out_peak_772
chr1	40695794	40695937	144	40695861	7.00	8.40048	5.93174	5.97408	macs2Out_peak_780
chr1	42714713	42714863	151	42714804	9.00	8.51986	5.96267	6.08970	macs2Out_peak_786
chr1	42768841	42768951	111	42768913	7.00	4.89118	3.93643	2.65797	macs2Out_peak_788
chr1	42769148	42769377	230	42769227	11.00	9.03173	5.96985	6.58379	macs2Out_peak_789
chr1	42769461	42769612	152	42769559	11.00	9.13870	6.03652	6.68712	macs2Out_peak_790
chr1	42770665	42770816	152	42770719	8.00	5.87498	4.45280	3.57278	macs2Out_peak_791
chr1	43091439	43091549	111	43091487	6.00	5.64643	4.46970	3.37357	macs2Out_peak_795
chr1	43092605	43092752	148	43092698	9.00	9.41886	6.47710	6.95744	macs2Out_peak_796
chr1	43099010	43099168	159	43099094	7.00	6.11709	4.70782	3.80439	macs2Out_peak_798
chr1	43139664	43139807	144	43139718	7.00	8.40048	5.93174	5.97408	macs2Out_peak_800
chr1	43222466	43222576	111	43222483	5.00	5.73218	4.44881	3.43616	macs2Out_peak_801
chr1	43241285	43241412	128	43241347	8.00	9.51580	6.53405	7.05112	macs2Out_peak_803
chr1	43264634	43264758	125	43264695	7.00	8.40048	5.93174	5.97408	macs2Out_peak_805
chr1	43375149	43375265	117	43375203	6.00	7.03765	5.19028	4.67190	macs2Out_peak_807
chr1	43520742	43520896	155	43520833	16.00	9.80187	5.41005	7.32778	macs2Out_peak_818
chr1	43693326	43693485	160	43693413	6.00	6.56337	4.96208	4.23078	macs2Out_peak_824
chr1	43811848	43812007	160	43811930	12.00	9.39828	6.00323	6.93811	macs2Out_peak_828
chr1	43842380	43842492	113	43842425	8.00	8.00441	5.74676	5.60152	macs2Out_peak_830
chr1	43843740	43843886	147	43843829	8.00	8.15214	5.82939	5.74328	macs2Out_peak_832
chr1	43868353	43868463	111	43868401	7.00	8.04004	5.76161	5.63574	macs2Out_peak_833
chr1	43880049	43880163	115	43880091	5.00	5.73218	4.44881	3.43616	macs2Out_peak_834
chr1	43888508	43888683	176	43888584	6.00	7.03765	5.19028	4.67190	macs2Out_peak_835
chr1	44070417	44070527	111	44070468	7.00	8.40048	5.93174	5.97408	macs2Out_peak_844
chr1	44077658	44077768	111	44077722	7.00	8.40048	5.93174	5.97408	macs2Out_peak_845
chr1	44119875	44120008	134	44119969	10.00	7.76596	5.35410	5.37284	macs2Out_peak_850
chr1	45783408	45783541	134	45783472	7.00	8.40048	5.93174	5.97408	macs2Out_peak_857
chr1	46860077	46860342	266	46860175	10.00	8.80744	6.00273	6.36741	macs2Out_peak_876
chr1	46860565	46860727	163	46860631	10.00	8.80744	6.00273	6.36741	macs2Out_peak_877
chr1	46873512	46873689	178	46873608	15.00	9.64080	5.52086	7.17222	macs2Out_peak_878
chr1	46906243	46906386	144	46906311	13.00	8.23281	5.08388	5.82158	macs2Out_peak_882
chr1	46967721	46967837	117	46967797	8.00	9.40682	6.48181	6.94605	macs2Out_peak_885
chr1	47553290	47553400	111	47553350	6.00	7.03765	5.19028	4.67190	macs2Out_peak_886
chr1	48093886	48093996	111	48093921	7.00	8.40048	5.93174	5.97408	macs2Out_peak_887
chr1	48498697	48498807	111	48498728	7.00	8.40048	5.93174	5.97408	macs2Out_peak_888
chr1	51437377	51437487	111	51437471	5.00	5.73218	4.44881	3.43616	macs2Out_peak_889
chr1	51466510	51466620	111	51466604	6.00	6.19900	4.77425	3.88251	macs2Out_peak_891
chr1	51466748	51466862	115	51466812	8.00	8.63679	6.09220	6.20227	macs2Out_peak_892
chr1	51514553	51514681	129	51514615	10.00	7.09252	4.92809	4.72440	macs2Out_peak_903
chr1	51552621	51552787	167	51552689	6.00	7.03765	5.19028	4.67190	macs2Out_peak_909
chr1	51580296	51580423	128	51580355	9.00	8.51986	5.96267	6.08970	macs2Out_peak_911
chr1	51585096	51585206	111	51585159	7.00	7.51590	5.49790	5.13210	macs2Out_peak_912
chr1	51699484	51699679	196	51699592	7.00	8.40048	5.93174	5.97408	macs2Out_peak_917
chr1	51911326	51911436	111	51911390	13.00	7.22669	4.48704	4.85398	macs2Out_peak_924
chr1	51911613	51911729	117	51911650	14.00	8.08074	4.80754	5.67486	macs2Out_peak_925
chr1	52004220	52004330	111	52004277	6.00	7.03765	5.19028	4.67190	macs2Out_peak_930
chr1	52119162	52119595	434	52119328	10.00	8.63325	5.89559	6.19922	macs2Out_peak_933
chr1	52146701	52146811	111	52146757	7.00	7.76711	5.62667	5.37337	macs2Out_peak_936
chr1	52174043	52174185	143	52174084	5.00	5.32850	4.25321	3.07225	macs2Out_peak_940
chr1	52307067	52307177	111	52307136	7.00	7.28333	5.37490	4.90823	macs2Out_peak_946
chr1	52566623	52566733	111	52566686	6.00	7.03765	5.19028	4.67190	macs2Out_peak_954
chr1	52576588	52576698	111	52576614	7.00	6.43930	4.89986	4.11237	macs2Out_peak_955
chr1	52578227	52578419	193	52578315	9.00	9.01870	6.25234	6.57130	macs2Out_peak_956
chr1	52631005	52631214	210	52631152	12.00	7.82327	5.02454	5.42772	macs2Out_peak_959
chr1	52675972	52676082	111	52676021	7.00	8.13649	5.80804	5.72880	macs2Out_peak_962
chr1	52750906	52751016	111	52750933	9.00	6.91333	4.97488	4.56508	macs2Out_peak_971
chr1	52815880	52815990	111	52815929	6.00	4.57419	3.81992	2.35692	macs2Out_peak_978
chr1	52827892	52828002	111	52827964	6.00	6.98376	5.16529	4.63255	macs2Out_peak_980
chr1	52854113	52854231	119	52854197	6.00	6.19900	4.77425	3.88251	macs2Out_peak_983
chr1	52858311	52858427	117	52858361	7.00	7.76711	5.62667	5.37337	macs2Out_peak_984
chr1	53289624	53289740	117	53289678	6.00	7.03765	5.19028	4.67190	macs2Out_peak_991
chr1	53329582	53329692	111	53329659	6.00	7.03765	5.19028	4.67190	macs2Out_peak_994
chr1	53552013	53552123	111	53552074	7.00	8.40048	5.93174	5.97408	macs2Out_peak_997
chr1	53830379	53830489	111	53830430	6.00	5.81818	4.56681	3.51825	macs2Out_peak_1008
chr1	53833842	53833952	111	53833907	7.00	6.16843	4.73878	3.85348	macs2Out_peak_1009
chr1	53838215	53838403	189	53838294	9.00	8.07857	5.69866	5.67275	macs2Out_peak_1010
chr1	53839954	53840064	111	53840012	7.00	6.80021	5.10823	4.45735	macs2Out_peak_1011
chr1	53845049	53845194	146	53845144	7.00	7.06695	5.25728	4.69962	macs2Out_peak_1012
chr1	53873835	53873948	114	53873877	10.00	7.01597	4.87956	4.66312	macs2Out_peak_1017
chr1	53876742	53876905	164	53876839	10.00	7.49970	5.18599	5.11669	macs2Out_peak_1019
chr1	54425860	54425970	111	54425910	7.00	8.40048	5.93174	5.97408	macs2Out_peak_1025
chr1	54449182	54449319	138	54449230	7.00	8.23594	5.85523	5.82403	macs2Out_peak_1029
chr1	54492459	54492569	111	54492521	7.00	8.40048	5.93174	5.97408	macs2Out_peak_1031
chr1	54557549	54557762	214	54557634	9.00	9.68015	6.61989	7.20994	macs2Out_peak_1034
chr1	54666502	54666612	111	54666542	7.00	7.85550	5.67094	5.45858	macs2Out_peak_1042
chr1	54666849	54666959	111	54666938	7.00	7.94643	5.71592	5.54579	macs2Out_peak_1043
chr1	54795440	54795570	131	54795532	15.00	8.89891	5.09181	6.45589	macs2Out_peak_1047
chr1	54812326	54812448	123	54812401	11.00	9.41790	6.20989	6.95685	macs2Out_peak_1050
chr1	54869617	54869727	111	54869643	5.00	4.50310	3.80421	2.28899	macs2Out_peak_1056
chr1	54870710	54870855	146	54870761	7.00	7.28333	5.37490	4.90823	macs2Out_peak_1057
chr1	54877588	54877956	369	54877894	8.00	7.72653	5.58833	5.33456	macs2Out_peak_1058
chr1	54883169	54883295	127	54883223	10.00	7.67521	5.29687	5.28557	macs2Out_peak_1059
chr1	54933733	54933856	124	54933765	7.00	8.13649	5.80804	5.72880	macs2Out_peak_1073
chr1	55052692	55052802	111	55052761	12.00	4.96537	3.34534	2.72815	macs2Out_peak_1080
chr1	55088018	55088128	111	55088049	6.00	4.64802	3.86676	2.42683	macs2Out_peak_1083
