PeakID	chr	start	end	strand	NormalizedTagCount	focusratio	findPeaksScore	FoldChangevsLocal	p-valuevsLocal	ClonalFoldChange
chr9-1	chr9	131831738	131831906	+	215.7	0.898	184.000000	74.79	0.00e+00	0.75
chr22-2	chr22	22901563	22901731	+	215.0	0.848	180.000000	32.43	0.00e+00	0.76
chr16-6	chr16	89058850	89059018	+	205.9	0.769	184.000000	34.27	0.00e+00	0.73
chr17-8	chr17	33478244	33478412	+	205.2	0.646	120.000000	43.08	0.00e+00	1.12
chr7-1	chr7	5594621	5594789	+	204.5	0.909	176.000000	53.07	0.00e+00	0.76
chr16-12	chr16	33965429	33965597	+	204.5	0.732	92.000000	13.69	1.25e-216	1.60
chr3-1	chr3	193720976	193721144	+	196.8	0.713	178.000000	41.53	0.00e+00	0.74
chr5-3	chr5	71146689	71146857	+	196.8	0.863	117.000000	117.47	0.00e+00	1.31
chr2-9	chr2	133011870	133012038	+	196.1	0.835	79.000000	22.39	3.74e-264	1.68
chr22-3	chr22	19419918	19420086	+	194.0	0.703	179.000000	20.52	2.31e-251	0.75
chr22-4	chr22	22337150	22337318	+	194.0	0.812	161.000000	33.22	4.42e-307	0.82
chr12-2	chr12	54698206	54698374	+	192.6	0.846	179.000000	45.72	0.00e+00	0.74
chr1-6	chr1	31241920	31242088	+	187.0	0.866	171.000000	46.51	0.00e+00	0.76
chr2-1	chr2	220144262	220144430	+	187.0	0.799	174.000000	56.01	0.00e+00	0.75
chr1-7	chr1	29211538	29211706	+	182.8	0.958	147.000000	29.09	6.41e-275	0.87
chr9-3	chr9	138843874	138844042	+	181.4	0.938	157.000000	59.44	0.00e+00	0.81
chr19-5	chr19	4328442	4328610	+	181.4	0.873	154.000000	48.74	0.00e+00	0.82
chr15-1	chr15	74838592	74838760	+	180.7	0.909	181.000000	78.23	0.00e+00	0.71
chr6-9	chr6	119558504	119558672	+	173.6	0.955	101.000000	166.83	0.00e+00	1.27
chr17-3	chr17	45944419	45944587	+	173.6	0.921	153.000000	86.91	0.00e+00	0.81
chr20-3	chr20	45989394	45989562	+	173.6	0.953	152.000000	57.59	0.00e+00	0.82
chr9-2	chr9	137230429	137230597	+	172.9	0.881	160.000000	57.14	0.00e+00	0.78
chr15-3	chr15	70740354	70740522	+	170.1	0.911	153.000000	80.80	0.00e+00	0.81
chr9-9	chr9	79186614	79186782	+	168.7	0.814	92.000000	216.99	0.00e+00	1.33
chr15-2	chr15	64126524	64126692	+	168.7	0.910	156.000000	66.22	0.00e+00	0.78
chr19-4	chr19	1207944	1208112	+	168.7	0.870	162.000000	40.65	5.45e-288	0.76
chr22-14	chr22	21132122	21132290	+	168.7	0.876	117.000000	43.13	4.69e-294	1.06
chrX-1	chrX	40032023	40032191	+	167.3	0.889	165.000000	39.29	3.50e-282	0.74
chr17-4	chr17	41466103	41466271	+	165.2	0.716	143.000000	38.47	1.44e-276	0.85
chr17-2	chr17	42343983	42344151	+	161.0	0.928	154.000000	69.38	0.00e+00	0.77
chr19-6	chr19	47747420	47747588	+	161.0	0.816	151.000000	44.42	1.31e-283	0.82
chr1-9	chr1	226187133	226187301	+	158.2	0.825	139.000000	38.67	1.96e-265	0.86
chr21-5	chr21	36399077	36399245	+	156.8	0.930	160.000000	95.00	0.00e+00	0.74
chr1-11	chr1	179016211	179016379	+	154.7	0.869	132.000000	65.32	6.56e-309	0.91
chr7-2	chr7	104653089	104653257	+	152.6	0.781	157.000000	23.41	3.59e-210	0.74
chr12-3	chr12	117480224	117480392	+	152.6	0.850	154.000000	48.14	2.27e-276	0.77
chr17-5	chr17	27192409	27192577	+	152.6	0.896	142.000000	58.26	4.41e-294	0.82
chr9-4	chr9	134000845	134001013	+	150.5	0.643	155.000000	17.38	7.14e-181	0.75
chr11-1	chr11	8227983	8228151	+	147.7	0.937	143.000000	106.45	0.00e+00	0.80
chr11-3	chr11	118306971	118307139	+	143.5	0.819	129.000000	42.54	3.03e-249	0.89
chr22-5	chr22	21271436	21271604	+	142.1	0.615	143.000000	17.52	1.42e-171	0.80
chr6-1	chr6	31744975	31745143	+	141.4	0.845	136.000000	29.26	9.99e-214	0.82
chr9-6	chr9	132641501	132641669	+	141.4	0.876	131.000000	29.55	1.43e-214	0.86
chr9-5	chr9	132625404	132625572	+	137.9	0.914	143.000000	43.84	4.21e-242	0.78
chr3-3	chr3	177077718	177077886	+	134.4	0.868	121.000000	48.85	7.51e-245	0.90
chr19-7	chr19	907302	907470	+	134.4	0.950	136.000000	39.99	1.58e-228	0.81
chr22-6	chr22	22863014	22863182	+	133.7	0.664	134.000000	20.55	4.53e-174	0.80
chr2-18	chr2	92281238	92281406	+	133.0	0.932	67.000000	129.30	1.38e-321	1.71
chr7-3	chr7	150736529	150736697	+	133.0	0.887	131.000000	34.97	2.16e-215	0.83
chr1-14	chr1	228701047	228701215	+	132.3	0.933	116.000000	74.23	7.93e-275	0.93
chr1-8	chr1	224691248	224691416	+	131.6	0.773	139.000000	40.90	1.31e-225	0.77
chr16-7	chr16	50875093	50875261	+	131.6	0.958	128.000000	110.02	3.74e-305	0.83
chr22-7	chr22	21213112	21213280	+	130.9	0.651	133.000000	15.81	2.21e-150	0.80
chr19-9	chr19	574769	574937	+	129.5	0.938	124.000000	27.90	3.15e-192	0.86
chr1-18	chr1	160510079	160510247	+	128.8	0.938	100.000000	92.04	1.40e-284	1.07
chr11-4	chr11	118958510	118958678	+	128.8	0.938	127.000000	43.42	1.63e-225	0.84
chr19-8	chr19	5799320	5799488	+	128.8	0.872	131.000000	40.64	2.42e-220	0.81
chr17-7	chr17	47817144	47817312	+	128.1	0.807	124.000000	48.46	7.72e-233	0.86
chr21-6	chr21	45148452	45148620	+	128.1	0.822	130.000000	42.84	2.97e-223	0.82
chr1-12	chr1	39281808	39281976	+	126.7	0.892	127.000000	39.67	6.03e-215	0.84
chr5-2	chr5	139049592	139049760	+	126.7	0.815	129.000000	34.06	2.80e-203	0.83
chr8-3	chr8	23351787	23351955	+	126.0	0.885	120.000000	84.95	3.01e-272	0.89
chr17-6	chr17	74402117	74402285	+	125.3	0.879	127.000000	49.18	6.43e-229	0.83
chr7-4	chr7	100239167	100239335	+	123.9	0.942	125.000000	46.24	9.52e-222	0.84
chr22-8	chr22	22292578	22292746	+	123.9	0.719	131.000000	14.53	2.37e-136	0.80
chr11-5	chr11	63775381	63775549	+	121.8	0.830	121.000000	50.16	4.82e-224	0.87
chr2-2	chr2	220379065	220379233	+	121.1	0.835	128.000000	27.36	1.79e-178	0.81
chr7-5	chr7	1896055	1896223	+	121.1	0.792	116.000000	24.69	4.69e-171	0.88
chr1-13	chr1	23884898	23885066	+	119.7	0.845	122.000000	15.71	3.17e-137	0.83
chr6-6	chr6	160522544	160522712	+	119.7	0.894	110.000000	58.52	1.88e-231	0.93
chr2-3	chr2	169792692	169792860	+	119.0	0.855	115.000000	64.19	8.05e-237	0.87
chr3-2	chr3	128134858	128135026	+	119.0	0.848	121.000000	21.87	1.58e-159	0.86
chr11-2	chr11	65264944	65265112	+	119.0	0.784	133.000000	26.74	8.73e-174	0.76
chr15-4	chr15	93447489	93447657	+	119.0	0.817	128.000000	41.63	1.81e-205	0.80
chr8-2	chr8	124194786	124194954	+	118.3	0.825	125.000000	33.41	1.43e-188	0.82
chr18-3	chr18	46307656	46307824	+	118.3	0.823	123.000000	48.48	3.26e-215	0.81
chr10-1	chr10	124894671	124894839	+	117.6	0.762	122.000000	30.92	5.60e-182	0.82
chr3-4	chr3	127795768	127795936	+	113.4	0.790	115.000000	34.73	1.77e-183	0.86
chr22-9	chr22	22222049	22222217	+	112.0	0.669	129.000000	14.30	2.10e-122	0.76
chr5-4	chr5	134469879	134470047	+	111.3	0.742	113.000000	36.49	1.92e-183	0.86
chr12-4	chr12	50262908	50263076	+	111.3	0.882	110.000000	60.82	5.79e-218	0.88
chr10-2	chr10	73398621	73398789	+	110.6	0.844	112.000000	30.42	3.52e-170	0.87
chr1-16	chr1	181122212	181122380	+	105.7	0.894	105.000000	68.50	8.81e-215	0.90
chr6-4	chr6	19804993	19805161	+	105.0	0.820	120.000000	54.87	3.82e-199	0.79
chr3-6	chr3	12994811	12994979	+	104.3	0.847	108.000000	35.30	6.00e-170	0.86
chr7-7	chr7	138037535	138037703	+	104.3	0.839	107.000000	51.91	2.63e-194	0.86
chr10-3	chr10	63525432	63525600	+	104.3	0.738	94.000000	43.38	6.04e-183	1.02
chr19-15	chr19	1123117	1123285	+	103.6	0.884	102.000000	50.07	9.61e-191	0.92
chr1-19	chr1	166674754	166674922	+	102.9	0.888	100.000000	78.21	1.73e-217	0.95
chr6-2	chr6	35227310	35227478	+	101.5	0.764	122.000000	31.31	4.12e-158	0.74
chr19-14	chr19	45256677	45256845	+	101.5	0.871	104.000000	33.67	1.50e-162	0.88
chr12-5	chr12	94136082	94136250	+	100.8	0.901	103.000000	55.44	6.69e-192	0.88
chr2-36	chr2	92305678	92305846	+	100.1	0.973	54.000000	31.82	6.33e-157	1.67
chr6-12	chr6	32099427	32099595	+	100.1	0.915	92.000000	42.05	9.02e-174	1.00
chr1-15	chr1	29210499	29210667	+	98.7	0.846	110.000000	12.97	1.35e-102	0.84
chr16-10	chr16	88522376	88522544	+	98.0	0.807	104.000000	18.88	3.13e-123	0.85
chr19-13	chr19	16369381	16369549	+	98.0	0.864	105.000000	50.27	8.91e-181	0.85
chrX-3	chrX	40943796	40943964	+	98.0	0.816	103.000000	32.01	5.15e-154	0.86
chr17-9	chr17	40464754	40464922	+	97.3	0.668	111.000000	17.35	1.57e-117	0.83
chr1-17	chr1	43402135	43402303	+	96.6	0.838	100.000000	35.58	5.34e-158	0.91
chr3-5	chr3	5028618	5028786	+	96.6	0.751	109.000000	23.55	4.09e-134	0.81
chr3-7	chr3	33138663	33138831	+	96.6	0.842	102.000000	37.74	1.94e-161	0.87
chr6-10	chr6	37071167	37071335	+	96.6	0.883	99.000000	33.37	2.83e-154	0.89
chr19-11	chr19	944230	944398	+	95.9	0.864	107.000000	37.47	7.34e-160	0.82
chr5-5	chr5	177876190	177876358	+	95.2	0.930	104.000000	73.70	6.75e-198	0.84
chr19-12	chr19	45943160	45943328	+	95.2	0.833	106.000000	23.20	2.25e-131	0.84
chr12-6	chr12	54689585	54689753	+	94.5	0.916	82.000000	31.11	5.78e-147	1.05
chr6-7	chr6	31698011	31698179	+	93.8	0.695	103.000000	13.73	1.15e-100	0.85
chr22-19	chr22	18463491	18463659	+	93.8	0.911	101.000000	77.65	5.17e-198	0.86
chrX-2	chrX	48641338	48641506	+	93.8	0.911	109.000000	33.95	7.95e-151	0.79
chr19-16	chr19	2263715	2263883	+	93.1	0.908	96.000000	79.43	7.65e-198	0.90
chr22-16	chr22	21368533	21368701	+	93.1	0.741	104.000000	14.49	8.03e-103	0.84
chr11-6	chr11	16626423	16626591	+	92.4	0.845	108.000000	27.69	2.68e-137	0.79
chrX-4	chrX	70288263	70288431	+	92.4	0.907	101.000000	101.65	2.35e-210	0.85
chr7-11	chr7	137942444	137942612	+	91.7	0.856	87.000000	77.44	1.78e-193	1.01
chr17-11	chr17	76254744	76254912	+	91.7	0.854	97.000000	18.74	4.74e-115	0.89
chr9-11	chr9	119227524	119227692	+	91.0	0.910	88.000000	35.22	2.11e-148	0.98
chr15-5	chr15	66923363	66923531	+	91.0	0.782	103.000000	37.11	2.85e-151	0.84
chr17-12	chr17	80419816	80419984	+	90.3	0.884	92.000000	23.52	1.96e-125	0.91
chr11-8	chr11	34460124	34460292	+	89.6	0.834	97.000000	46.24	6.61e-161	0.86
chr19-10	chr19	18854159	18854327	+	89.6	0.845	109.000000	36.36	7.14e-148	0.81
chr14-2	chr14	23582009	23582177	+	88.9	0.919	91.000000	55.47	1.68e-169	0.92
chr14-1	chr14	50470071	50470239	+	88.9	0.818	92.000000	47.04	1.37e-160	0.93
chr17-10	chr17	35969481	35969649	+	88.9	0.789	102.000000	45.60	6.57e-159	0.84
chr21-7	chr21	46780243	46780411	+	88.2	0.951	99.000000	32.06	6.69e-139	0.84
chr21-8	chr21	46831455	46831623	+	88.2	0.907	96.000000	26.15	3.95e-128	0.87
chr1-28	chr1	164681563	164681731	+	87.5	0.863	83.000000	60.46	1.85e-171	1.01
chr7-14	chr7	16308692	16308860	+	87.5	0.787	84.000000	40.19	9.50e-150	0.99
chr11-11	chr11	33966391	33966559	+	87.5	0.849	87.000000	36.40	1.69e-144	0.95
chr1-23	chr1	145438318	145438486	+	86.8	0.919	89.000000	22.26	8.17e-118	0.94
chr3-9	chr3	47029304	47029472	+	86.1	0.805	97.000000	28.57	1.13e-129	0.87
chr22-23	chr22	21921879	21922047	+	86.1	0.705	96.000000	15.61	5.98e-99	0.86
chr5-6	chr5	39424979	39425147	+	84.7	0.797	90.000000	42.15	1.86e-147	0.92
chr6-13	chr6	47210311	47210479	+	84.7	0.956	90.000000	63.80	8.16e-169	0.90
chr18-4	chr18	3448300	3448468	+	84.7	0.755	96.000000	15.23	3.85e-96	0.87
chr18-5	chr18	77267099	77267267	+	84.7	0.854	89.000000	53.24	1.79e-159	0.93
chr2-6	chr2	178129539	178129707	+	84.0	0.703	87.000000	13.99	3.06e-91	0.92
chr1-24	chr1	235111011	235111179	+	82.6	0.751	85.000000	24.93	9.09e-118	0.95
chr3-12	chr3	14274193	14274361	+	82.6	0.574	81.000000	24.40	1.03e-116	1.02
chr9-8	chr9	135674470	135674638	+	82.6	0.861	94.000000	50.78	3.48e-153	0.85
chr15-7	chr15	74682015	74682183	+	81.9	0.839	87.000000	27.06	8.46e-121	0.93
chr22-28	chr22	22307186	22307354	+	81.9	0.761	90.000000	15.78	1.04e-94	0.88
chr1-33	chr1	91852731	91852899	+	81.2	0.475	80.000000	25.24	2.14e-116	1.01
chr6-15	chr6	3024159	3024327	+	81.2	0.864	84.000000	31.58	2.75e-127	0.93
chr9-10	chr9	135879583	135879751	+	81.2	0.762	89.000000	22.70	2.74e-111	0.88
chr3-11	chr3	193852817	193852985	+	80.5	0.784	94.000000	12.97	5.22e-84	0.85
chr7-18	chr7	73300466	73300634	+	80.5	0.807	76.000000	40.79	1.22e-138	1.02
chr7-9	chr7	138775747	138775915	+	80.5	0.784	92.000000	32.67	7.41e-128	0.87
chr11-10	chr11	64656615	64656783	+	80.5	0.917	93.000000	25.11	3.59e-115	0.84
chr19-17	chr19	4374690	4374858	+	80.5	0.750	92.000000	15.58	1.56e-92	0.84
chr20-16	chr20	29518692	29518860	+	79.8	0.967	59.000000	113.08	3.65e-187	1.37
chr2-5	chr2	70369958	70370126	+	79.1	0.750	91.000000	25.73	2.37e-114	0.85
chr9-12	chr9	123659493	123659661	+	79.1	0.840	88.000000	23.45	5.59e-110	0.87
chr1-21	chr1	203619537	203619705	+	78.4	0.804	93.000000	46.16	5.96e-141	0.87
chr11-14	chr11	61809588	61809756	+	78.4	0.764	78.000000	72.03	3.21e-162	1.00
chr20-5	chr20	48909251	48909419	+	78.4	0.757	93.000000	30.21	7.10e-121	0.82
chr1-22	chr1	32410077	32410245	+	77.7	0.801	90.000000	27.76	6.95e-116	0.89
chr8-4	chr8	103666301	103666469	+	77.7	0.679	90.000000	12.86	8.56e-81	0.86
chr22-30	chr22	20918687	20918855	+	77.7	0.839	87.000000	20.05	7.38e-101	0.90
chr1-25	chr1	11943026	11943194	+	77.0	0.897	84.000000	28.24	1.23e-115	0.90
chr16-15	chr16	16115938	16116106	+	77.0	0.851	85.000000	38.78	2.42e-130	0.90
chr3-8	chr3	43732334	43732502	+	76.3	0.741	97.000000	19.27	2.69e-97	0.78
chr7-12	chr7	99679465	99679633	+	76.3	0.810	86.000000	37.75	6.29e-128	0.87
chr7-10	chr7	123389036	123389204	+	76.3	0.689	87.000000	21.85	6.04e-103	0.88
chr15-8	chr15	83518402	83518570	+	76.3	0.945	81.000000	47.61	1.18e-138	0.97
chr16-14	chr16	70462074	70462242	+	76.3	0.806	87.000000	26.69	4.89e-112	0.87
chr19-20	chr19	13030079	13030247	+	76.3	0.710	85.000000	40.37	4.93e-131	0.91
chr10-5	chr10	3707666	3707834	+	75.6	0.832	82.000000	32.08	2.29e-119	0.90
chr15-6	chr15	66972087	66972255	+	75.6	0.804	90.000000	37.18	4.41e-126	0.87
chr3-16	chr3	197171189	197171357	+	74.9	0.908	79.000000	60.21	7.32e-147	0.96
chr5-10	chr5	131831564	131831732	+	74.9	0.823	83.000000	21.45	2.86e-100	0.88
chr11-12	chr11	70266130	70266298	+	74.9	0.917	82.000000	38.65	1.08e-126	0.92
chr2-10	chr2	158786575	158786743	+	74.2	0.844	78.000000	36.71	3.29e-123	0.96
chr2-16	chr2	179138553	179138721	+	74.2	0.926	69.000000	28.85	1.83e-112	1.05
chr5-7	chr5	139088889	139089057	+	74.2	0.776	87.000000	23.32	4.85e-103	0.85
chr7-13	chr7	152161088	152161256	+	74.2	0.796	86.000000	20.14	1.34e-96	0.86
chr20-6	chr20	30160791	30160959	+	74.2	0.689	87.000000	19.03	4.06e-94	0.86
chr1-26	chr1	46988158	46988326	+	73.5	0.821	84.000000	21.34	3.28e-98	0.90
chr1-20	chr1	54953969	54954137	+	73.5	0.812	93.000000	22.43	2.22e-100	0.79
chr5-21	chr5	89940094	89940262	+	73.5	0.950	62.000000	44.53	1.17e-130	1.27
chr6-11	chr6	33244843	33245011	+	73.5	0.685	94.000000	15.56	1.37e-84	0.82
chr6-14	chr6	41984899	41985067	+	73.5	0.918	88.000000	41.80	7.66e-128	0.82
chr10-8	chr10	52086664	52086832	+	73.5	0.755	78.000000	26.95	2.01e-108	0.95
chr11-16	chr11	59727983	59728151	+	73.5	0.886	73.000000	64.01	6.74e-147	1.02
chr12-8	chr12	57382159	57382327	+	73.5	0.919	78.000000	43.89	5.13e-130	0.95
chr1-32	chr1	33282853	33283021	+	72.8	0.781	80.000000	24.94	4.79e-104	0.92
chr1-40	chr1	93010441	93010609	+	72.8	0.836	73.000000	93.64	1.78e-162	0.98
chr5-9	chr5	133801578	133801746	+	72.8	0.877	84.000000	31.05	1.38e-113	0.85
chr6-34	chr6	16031554	16031722	+	72.1	0.942	70.000000	59.68	4.70e-141	1.04
chr6-17	chr6	31628453	31628621	+	72.1	0.792	83.000000	14.42	7.57e-80	0.86
chr10-4	chr10	80938525	80938693	+	72.1	0.641	84.000000	14.05	9.13e-79	0.85
chr10-19	chr10	135500807	135500975	+	72.1	0.685	62.000000	51.08	3.20e-134	1.16
chr19-19	chr19	10654307	10654475	+	72.1	0.782	86.000000	36.10	4.80e-119	0.84
chr21-10	chr21	36280909	36281077	+	72.1	0.812	77.000000	27.40	4.19e-107	0.97
chr1-31	chr1	225615947	225616115	+	71.4	0.722	82.000000	19.64	5.87e-92	0.88
chr2-7	chr2	112812827	112812995	+	71.4	0.792	83.000000	28.29	1.89e-107	0.86
chr4-1	chr4	5005330	5005498	+	71.4	0.837	82.000000	49.75	8.79e-132	0.89
chr19-21	chr19	35531884	35532052	+	71.4	0.764	85.000000	29.12	1.10e-108	0.84
chr22-35	chr22	20861743	20861911	+	71.4	0.697	80.000000	13.41	4.10e-76	0.91
chr5-11	chr5	81147734	81147902	+	70.7	0.930	81.000000	44.11	2.39e-125	0.88
chr16-16	chr16	8962259	8962427	+	70.7	0.786	80.000000	21.73	2.62e-95	0.89
chr19-25	chr19	18110502	18110670	+	70.7	0.878	74.000000	25.48	5.43e-102	0.99
chr19-18	chr19	18267985	18268153	+	70.7	0.825	87.000000	15.56	1.96e-81	0.83
chr1-49	chr1	114922670	114922838	+	70.0	0.877	70.000000	60.96	6.59e-138	1.04
chr21-9	chr21	40555384	40555552	+	70.0	0.674	83.000000	16.67	1.78e-83	0.84
chr1-35	chr1	209848494	209848662	+	69.3	0.759	77.000000	28.68	6.46e-105	0.90
chr6-21	chr6	31802267	31802435	+	69.3	0.843	80.000000	19.44	6.65e-89	0.89
chr7-53	chr7	64460164	64460332	+	69.3	0.850	59.000000	35.99	2.28e-114	1.24
chr7-20	chr7	75620399	75620567	+	69.3	0.882	75.000000	18.69	2.70e-87	0.92
chr17-13	chr17	39845651	39845819	+	69.3	0.621	78.000000	19.00	5.88e-88	0.90
chr19-23	chr19	13056507	13056675	+	69.3	0.806	79.000000	31.32	1.43e-108	0.88
chr19-256	chr19	24184904	24185072	+	69.3	0.915	36.000000	28.54	1.04e-104	1.92
chr19-24	chr19	39894562	39894730	+	69.3	0.892	76.000000	17.30	3.83e-84	0.91
chr5-13	chr5	95066830	95066998	+	68.6	0.732	80.000000	20.41	5.45e-90	0.88
chr7-15	chr7	121036491	121036659	+	68.6	0.697	84.000000	24.83	5.81e-98	0.84
chr9-141	chr9	66833084	66833252	+	68.6	0.951	37.000000	33.74	1.45e-110	1.86
chr10-7	chr10	43951185	43951353	+	68.6	0.735	80.000000	34.14	4.71e-111	0.87
chr11-18	chr11	69827648	69827816	+	68.6	0.929	72.000000	42.17	8.22e-120	0.97
chr12-9	chr12	49486116	49486284	+	68.6	0.809	77.000000	16.72	5.85e-82	0.93
chr2-8	chr2	200320501	200320669	+	67.9	0.908	83.000000	26.40	1.79e-99	0.85
chr6-19	chr6	44044346	44044514	+	67.9	0.753	82.000000	16.90	1.49e-81	0.86
chr6-43	chr6	135644431	135644599	+	67.9	0.753	66.000000	21.92	5.94e-92	1.06
chr9-20	chr9	139557215	139557383	+	67.9	0.756	72.000000	13.65	3.83e-73	0.95
chr10-6	chr10	75007013	75007181	+	67.9	0.706	81.000000	19.05	2.49e-86	0.85
chr1-27	chr1	8763466	8763634	+	67.2	0.832	83.000000	37.46	1.39e-112	0.81
chr1-34	chr1	27481573	27481741	+	67.2	0.793	77.000000	27.14	1.42e-99	0.94
chr3-19	chr3	40350982	40351150	+	67.2	0.857	73.000000	31.39	1.99e-105	0.95
chr3-15	chr3	196230475	196230643	+	67.2	0.768	79.000000	29.73	3.11e-103	0.88
chr5-18	chr5	75953837	75954005	+	67.2	0.867	64.000000	55.63	1.03e-128	1.05
chr6-18	chr6	43021517	43021685	+	67.2	0.799	82.000000	27.95	9.35e-101	0.82
chr16-19	chr16	85569078	85569246	+	67.2	0.765	75.000000	18.85	4.75e-85	0.91
chr17-15	chr17	49022031	49022199	+	67.2	0.747	76.000000	22.93	7.96e-93	0.89
chr18-6	chr18	3624158	3624326	+	67.2	0.801	79.000000	24.75	7.10e-96	0.89
chr1-30	chr1	1310596	1310764	+	66.5	0.765	82.000000	20.82	4.44e-88	0.83
chr3-13	chr3	38028516	38028684	+	66.5	0.801	81.000000	24.71	7.85e-95	0.86
chr6-22	chr6	53412911	53413079	+	66.5	0.758	80.000000	22.51	3.82e-91	0.85
chr6-40	chr6	108880428	108880596	+	66.5	0.886	67.000000	13.90	2.23e-72	1.00
chr7-21	chr7	103636623	103636791	+	66.5	0.819	74.000000	37.07	5.21e-111	0.96
chr11-13	chr11	69264568	69264736	+	66.5	0.896	80.000000	30.89	1.04e-103	0.85
chr1-39	chr1	45478347	45478515	+	65.8	0.850	73.000000	18.90	2.01e-83	0.92
chr1-29	chr1	200638584	200638752	+	65.8	0.783	83.000000	26.45	1.60e-96	0.82
chr3-18	chr3	23987382	23987550	+	65.8	0.661	75.000000	17.30	5.35e-80	0.91
chr5-12	chr5	141736596	141736764	+	65.8	0.626	81.000000	25.24	1.12e-94	0.84
chr6-25	chr6	16267981	16268149	+	65.8	0.902	75.000000	25.83	1.38e-95	0.91
chr6-23	chr6	43692932	43693100	+	65.8	0.797	78.000000	32.94	3.50e-105	0.88
chr8-9	chr8	17980189	17980357	+	65.8	0.835	65.000000	50.01	8.27e-122	1.02
chr17-23	chr17	76662079	76662247	+	65.8	0.828	66.000000	36.19	6.48e-109	1.04
chr20-8	chr20	361413	361581	+	65.8	0.804	74.000000	27.78	1.85e-98	0.93
chr1-48	chr1	51750248	51750416	+	65.1	0.913	70.000000	39.44	3.72e-111	0.95
chr2-22	chr2	158180942	158181110	+	65.1	0.982	65.000000	52.33	2.49e-122	1.03
chr9-15	chr9	94662394	94662562	+	65.1	0.888	77.000000	24.30	3.19e-92	0.86
chr12-12	chr12	114087171	114087339	+	65.1	0.744	75.000000	37.28	6.14e-109	0.90
chr16-20	chr16	1429026	1429194	+	65.1	0.842	72.000000	22.49	3.11e-89	0.94
chr19-22	chr19	41829615	41829783	+	65.1	0.823	80.000000	20.62	7.02e-86	0.84
chr2-11	chr2	128165643	128165811	+	64.4	0.814	77.000000	41.10	1.37e-111	0.88
chr5-14	chr5	139017402	139017570	+	64.4	0.710	76.000000	18.96	8.54e-82	0.86
chr6-42	chr6	11938906	11939074	+	64.4	0.948	66.000000	44.50	1.09e-114	1.03
chr6-28	chr6	33378091	33378259	+	64.4	0.729	74.000000	22.07	1.44e-87	0.91
chr6-20	chr6	34530725	34530893	+	64.4	0.885	81.000000	18.19	3.14e-80	0.84
chr7-26	chr7	56131831	56131999	+	64.4	0.717	71.000000	38.74	2.80e-109	0.92
