======================================================================
SISSRs: A tool to identify binding sites from ChIP-Seq data
======================================================================
SISSRs version 1.4 (Release date: Mon, 24 November 2008)

For further information on how to interpret these results or to get
a recent version of the SISSRs software, please visit
http://sissrs.rajajothi.com
======================================================================


======================================================================
REFERENCE
======================================================================
If you use this program in your research, please cite:

Raja Jothi, Suresh Cuddapah, Artem Barski, Kairong Cui, Keji Zhao
Genome-wide identification of in vivo protein-DNA binding sites
from ChIP-Seq Data. Nucleic Acids Research, 36(16):5221-31 (2008)
======================================================================


======================================================================
COMMAND LINE SUMMARY & ESTIMATED PARAMETERS
======================================================================
Data file (i)                           : mm10-C57BL7-ThioMac-PU1-notx.bed
Number of tags in the data file         : 11162225
Number of tags selected for analysis    : 11162225 (100.00%)
Tags mapped to sense strand             : 5850700 (52.42%)
Tags mapped to anti-sense strand        : 5311525 (47.58%)
Background model (Negative Control)     : Poisson
Genome length (s)                       : 2505020000
Fraction of genome mappable by reads (m): 0.80
Effective Genome length  (s*m)          : 2004016000
False discovery rate (d)                : 0.001
Scanning window size (w)                : 20
Average DNA fragment length (f)         : 105
Minimum number of 'directional' tags
  required on each side of the inferred
  binding site (E)                      : 2
Keep one tag per genomic position (a)   : NO
Also reports binding sites supported
  only by reads mapped to either sense
  or anti-sense strand (u)              : NO
======================================================================


======================================================================
BINDING SITES
======================================================================
Tags necessary to identify binding sites: 9 (FDR < 1.00e-03)
(at least E=2 tags on each side)

Chr	cStart	cEnd	NumTags
chr1	24676851	24676931	9
chr1	24678531	24678571	12
chr1	24678631	24678711	30
chr1	24682091	24682131	15
chr1	24686411	24686451	79
chr1	24697971	24698031	10
chr1	24699451	24699511	32
chr1	24699571	24699611	16
chr1	25603891	25603931	65
chr1	28054151	28054191	28
chr1	28592451	28592491	33
chr1	30779731	30779771	47
chr1	30872211	30872251	9
chr1	30872451	30872491	23
chr1	30926451	30926511	13
chr1	30930391	30930431	39
chr1	30947731	30947791	10
chr1	30948511	30948571	15
chr1	30949091	30949131	11
chr1	30950111	30950171	17
chr1	30950231	30950291	12
chr1	31028591	31028631	14
chr1	31050131	31050171	79
chr1	31050491	31050531	163
chr1	31101311	31101351	33
chr1	31107191	31107251	11
chr1	31127191	31127231	12
chr1	32248631	32248691	23
chr1	32250531	32250611	9
chr1	32746471	32746511	19
chr1	33503071	33503111	26
chr1	33503731	33503771	14
chr1	33584791	33584831	48
chr1	33592411	33592471	14
chr1	33669531	33669591	9
chr1	33669771	33669811	64
chr1	33720111	33720151	9
chr1	33788231	33788271	42
chr1	33813351	33813391	18
chr1	33813911	33813971	13
chr1	33814431	33814471	35
chr1	33814551	33814591	31
chr1	33868931	33869051	11
chr1	33876591	33876631	30
chr1	33878371	33878431	11
chr1	33883271	33883331	33
chr1	33883471	33883511	130
chr1	33893111	33893151	17
chr1	33898431	33898491	18
chr1	33900411	33900451	60
chr1	33903791	33903831	221
chr1	33922591	33922631	22
chr1	34389231	34389271	9
chr1	34389331	34389391	22
chr1	34389591	34389651	11
chr1	34410091	34410131	9
chr1	34421911	34421991	10
chr1	34433351	34433391	11
chr1	34434311	34434351	37
chr1	34434931	34434971	12
chr1	34438911	34438991	23
chr1	34439371	34439411	157
chr1	34439851	34439891	58
chr1	34460271	34460311	90
chr1	34462851	34462951	10
chr1	34463931	34463971	13
chr1	34464491	34464531	45
chr1	34464751	34464791	191
chr1	34464971	34465011	75
chr1	34467671	34467711	25
chr1	34468251	34468291	37
chr1	34468571	34468611	40
chr1	34472651	34472771	148
chr1	34478951	34478991	30
chr1	34480991	34481051	15
chr1	34485931	34485971	73
chr1	34510851	34510891	37
chr1	34522371	34522411	49
chr1	34564791	34564831	18
chr1	34801931	34802011	9
chr1	34802451	34802491	14
chr1	34821631	34821671	162
chr1	34823591	34823631	92
chr1	34828111	34828151	205
chr1	34830751	34830791	38
chr1	34831311	34831351	51
chr1	34835871	34835931	14
chr1	34838471	34838511	16
chr1	34839451	34839511	65
chr1	34841831	34841871	26
chr1	34842991	34843031	18
chr1	34844631	34844711	11
chr1	34849651	34849691	13
chr1	34850211	34850251	38
chr1	34850731	34850771	58
chr1	34851771	34851831	65
chr1	34855131	34855171	19
chr1	34856751	34856791	14
chr1	34858791	34858831	14
chr1	34859751	34859791	17
chr1	34860451	34860531	10
chr1	34867411	34867491	11
chr1	35656531	35656631	18
chr1	35765891	35765931	17
chr1	35775931	35775991	16
chr1	35777471	35777511	20
chr1	35810711	35810751	297
chr1	35812551	35812591	19
chr1	35813651	35813691	13
chr1	35813811	35813851	82
chr1	35814731	35814771	19
chr1	35849091	35849191	26
chr1	35861011	35861051	229
chr1	35890591	35890631	13
chr1	35972391	35972431	57
chr1	35975791	35975831	40
chr1	35994091	35994151	14
chr1	35995371	35995451	43
chr1	36038911	36038951	20
chr1	36052711	36052751	183
chr1	36065111	36065151	32
chr1	36069371	36069411	35
chr1	36069571	36069611	17
chr1	36073411	36073471	10
chr1	36073751	36073791	14
chr1	36073991	36074031	12
chr1	36090211	36090251	28
chr1	36100771	36100851	10
chr1	36108031	36108091	13
chr1	36121371	36121411	65
chr1	36123891	36123931	21
chr1	36127851	36127891	9
chr1	36128771	36128811	10
chr1	36129291	36129331	38
chr1	36130451	36130491	183
chr1	36131211	36131251	10
chr1	36133231	36133271	134
chr1	36133811	36133851	51
chr1	36134811	36134851	11
chr1	36162831	36162871	360
chr1	36231071	36231111	86
chr1	36235111	36235171	18
chr1	36239551	36239611	11
chr1	36244271	36244311	161
chr1	36252991	36253051	25
chr1	36257411	36257451	22
chr1	36259071	36259131	9
chr1	36262171	36262211	44
chr1	36262391	36262431	14
chr1	36264031	36264071	9
chr1	36264271	36264311	230
chr1	36270791	36270851	87
chr1	36271811	36271871	22
chr1	36273151	36273211	10
chr1	36273371	36273591	39
chr1	36277411	36277451	13
chr1	36279291	36279351	30
chr1	36303531	36303571	9
chr1	36307231	36307271	137
chr1	36307531	36307611	11
chr1	36308031	36308071	18
chr1	36308231	36308271	171
chr1	36309811	36309851	89
chr1	36324231	36324271	12
chr1	36326291	36326331	12
chr1	36357511	36357551	31
chr1	36369231	36369291	13
chr1	36374171	36374211	13
chr1	36436711	36436751	12
chr1	36436831	36436871	17
chr1	36445311	36445351	66
chr1	36446351	36446411	16
chr1	36446611	36446651	40
chr1	36450371	36450411	34
chr1	36461951	36461991	17
chr1	36471191	36471251	27
chr1	36473431	36473471	19
chr1	36475711	36475751	12
chr1	36486331	36486371	13
chr1	36508411	36508451	337
chr1	36556251	36556311	9
chr1	36556711	36556751	65
chr1	36566571	36566611	45
chr1	36571911	36571951	11
chr1	36574011	36574051	21
chr1	36612671	36612731	17
chr1	36648611	36648671	11
chr1	36657811	36657871	15
chr1	36683851	36683891	10
chr1	36684251	36684291	25
chr1	36691491	36691531	86
chr1	36709131	36709171	35
chr1	36709471	36709531	9
chr1	36710051	36710091	100
chr1	36710191	36710251	48
chr1	36754431	36754471	17
chr1	36814371	36814411	11
chr1	36815271	36815311	22
chr1	36869751	36869791	48
chr1	36875051	36875091	68
chr1	36875331	36875371	18
chr1	36884731	36884771	19
chr1	36904771	36904831	15
chr1	36913991	36914031	13
chr1	36914671	36914711	143
chr1	36927771	36927811	97
chr1	36937471	36937511	33
chr1	36940591	36940631	88
chr1	36947591	36947631	10
chr1	36948111	36948151	18
chr1	36960971	36961031	36
chr1	36962531	36962591	9
chr1	36970031	36970091	16
chr1	36987171	36987231	23
chr1	36987371	36987411	44
chr1	36988251	36988311	12
chr1	36988551	36988611	9
chr1	37000531	37000591	21
chr1	37001451	37001491	15
chr1	37002251	37002371	21
chr1	37013171	37013211	52
chr1	37120371	37120411	15
chr1	37272571	37272651	9
chr1	37288991	37289071	9
chr1	37296191	37296291	13
chr1	37299611	37299651	32
chr1	37299751	37299791	13
chr1	37299851	37299911	35
chr1	37300731	37300771	30
chr1	37300931	37301051	17
chr1	37307051	37307111	13
chr1	37308671	37308711	14
chr1	37308771	37308831	101
chr1	37315111	37315151	58
chr1	37317271	37317311	20
chr1	37318131	37318171	59
chr1	37318731	37318791	13
chr1	37322911	37322951	144
chr1	37324591	37324711	16
chr1	37333011	37333051	11
chr1	37344431	37344471	40
chr1	37344631	37344691	10
chr1	37357251	37357291	23
chr1	37401791	37401831	12
chr1	37419631	37419671	15
chr1	37421851	37421891	44
chr1	37427411	37427451	49
chr1	37430171	37430211	193
chr1	37466491	37466551	41
chr1	37472411	37472451	25
chr1	37474271	37474311	18
chr1	37474811	37474851	19
chr1	37478631	37478691	14
chr1	37479251	37479311	19
chr1	37486671	37486711	40
chr1	37486971	37487011	58
chr1	37487371	37487411	11
chr1	37491851	37491891	157
chr1	37492531	37492571	13
chr1	37496111	37496151	60
chr1	37505191	37505231	10
chr1	37541091	37541171	44
chr1	37559891	37559951	22
chr1	37560191	37560231	15
chr1	37561851	37561891	50
chr1	37562151	37562191	70
chr1	37586331	37586371	134
chr1	37605871	37605911	29
chr1	37721391	37721431	31
chr1	37735011	37735071	10
chr1	37860531	37860571	62
chr1	37864931	37864971	24
chr1	37865051	37865091	61
chr1	37865371	37865411	12
chr1	37872251	37872311	11
chr1	37890531	37890571	34
chr1	37904811	37904851	15
chr1	37904951	37905011	73
chr1	37996911	37996971	11
chr1	37997311	37997371	16
chr1	37997971	37998031	12
chr1	37999291	37999411	27
chr1	38011851	38011911	14
chr1	38012271	38012311	236
chr1	38012911	38012971	9
chr1	38013231	38013271	21
chr1	38025431	38025471	12
chr1	38049731	38049771	12
chr1	38064211	38064271	13
chr1	38081511	38081591	14
chr1	38121471	38121511	23
chr1	38249711	38249771	10
chr1	38384811	38384851	21
chr1	38489811	38489851	12
chr1	38495491	38495531	24
chr1	38549051	38549151	9
chr1	38578991	38579031	18
chr1	38601991	38602031	38
chr1	38626051	38626111	9
chr1	38633471	38633511	10
chr1	38664951	38664991	15
chr1	38987691	38987731	181
chr1	38988651	38988691	22
chr1	39001331	39001451	10
chr1	39007831	39007871	15
chr1	39089991	39090031	36
chr1	39102751	39102791	21
chr1	39112451	39112491	15
chr1	39145151	39145271	9
chr1	39158831	39158871	16
chr1	39191711	39191751	25
chr1	39192691	39192731	12
chr1	39198371	39198411	10
chr1	39201551	39201671	11
chr1	39205171	39205211	9
chr1	39236231	39236311	11
chr1	39260771	39260811	51
chr1	39261191	39261231	14
chr1	39281091	39281151	22
chr1	39290351	39290391	16
chr1	39290591	39290631	49
chr1	39302411	39302451	10
chr1	39307231	39307271	34
chr1	39307451	39307491	65
chr1	39307711	39307751	11
chr1	39308711	39308751	38
chr1	39309731	39309771	137
chr1	39313831	39313871	204
chr1	39313951	39313991	56
chr1	39321771	39321811	57
chr1	39327391	39327451	15
chr1	39349131	39349171	12
chr1	39367791	39367831	71
chr1	39372631	39372691	13
chr1	39408911	39408951	35
chr1	39463951	39464011	11
chr1	39469151	39469191	23
chr1	39469351	39469391	10
chr1	39478611	39478651	9
chr1	39478811	39478871	11
chr1	39480671	39480711	12
chr1	39482031	39482071	29
chr1	39482271	39482331	40
chr1	39493231	39493291	13
chr1	39493851	39493931	64
chr1	39499831	39499891	12
chr1	39503151	39503191	55
chr1	39503431	39503471	30
chr1	39525911	39525951	68
chr1	39535571	39535771	21
chr1	39536091	39536151	19
chr1	39547291	39547331	9
chr1	39560571	39560671	13
chr1	39575271	39575331	10
chr1	39575891	39575931	13
chr1	39576711	39576771	34
chr1	39577291	39577351	12
chr1	39577431	39577471	16
chr1	39577591	39577631	42
chr1	39578431	39578511	10
chr1	39578611	39578671	19
chr1	39579311	39579351	45
chr1	39580911	39580951	31
chr1	39583331	39583371	149
chr1	39590371	39590411	111
chr1	39594331	39594391	12
chr1	39601331	39601371	34
chr1	39602411	39602451	13
chr1	39602651	39602691	164
chr1	39603531	39603611	14
chr1	39604351	39604411	13
chr1	39604631	39604671	11
chr1	39608731	39608771	10
chr1	39614171	39614231	31
chr1	39614551	39614591	63
chr1	39614811	39614851	10
chr1	39614991	39615031	72
chr1	39636051	39636091	24
chr1	39636311	39636351	65
chr1	39636811	39636851	10
chr1	39637171	39637211	9
chr1	39650091	39650151	15
chr1	39650311	39650351	27
chr1	39651251	39651371	19
chr1	39685931	39686051	10
chr1	39687231	39687291	75
chr1	39687451	39687491	11
chr1	39687551	39687611	23
chr1	39688811	39688851	24
chr1	39689391	39689431	21
chr1	39708991	39709051	14
chr1	39714251	39714291	150
chr1	39716591	39716651	24
chr1	39724351	39724391	13
chr1	39731751	39731811	15
chr1	39733431	39733491	11
chr1	39733631	39733671	25
chr1	39734591	39734631	16
chr1	39735991	39736051	13
chr1	39736431	39736471	19
chr1	39740171	39740211	11
chr1	39743811	39743851	9
chr1	39744131	39744191	12
chr1	39754891	39754931	13
chr1	39759331	39759371	12
chr1	39761191	39761231	9
chr1	39761411	39761451	18
chr1	39761631	39761671	13
chr1	39762211	39762251	63
chr1	39768031	39768111	23
chr1	39785851	39785911	50
chr1	39796931	39796991	10
chr1	39824871	39824911	25
chr1	39834971	39835011	24
chr1	39847211	39847251	251
chr1	39851291	39851331	66
chr1	39893291	39893331	14
chr1	39895271	39895351	16
chr1	39895671	39895711	121
chr1	39896711	39896811	12
chr1	39896891	39896931	17
chr1	39900411	39900451	10
chr1	39900631	39900671	76
chr1	39904831	39904871	35
chr1	39906171	39906231	36
chr1	39911691	39911731	14
chr1	39916291	39916351	69
chr1	39917611	39917711	18
chr1	39917931	39917971	13
chr1	39918931	39918971	202
chr1	39920791	39920831	22
chr1	39922811	39922851	93
chr1	39924931	39924971	19
chr1	39925091	39925131	25
chr1	39926291	39926331	115
chr1	39936451	39936491	89
chr1	39944511	39944551	97
chr1	39953151	39953191	15
chr1	39965011	39965051	28
chr1	39969171	39969211	26
chr1	39976271	39976311	10
chr1	39979331	39979391	15
chr1	40037951	40038011	19
chr1	40055231	40055291	26
chr1	40064671	40064731	27
chr1	40074591	40074651	20
chr1	40081191	40081231	77
chr1	40084551	40084591	129
chr1	40085871	40085931	10
chr1	40087371	40087411	13
chr1	40087591	40087631	240
chr1	40091271	40091391	9
chr1	40091791	40091831	30
chr1	40116651	40116711	9
chr1	40125171	40125211	9
chr1	40167111	40167171	12
chr1	40188071	40188131	23
chr1	40202471	40202511	22
chr1	40209211	40209271	10
chr1	40224991	40225031	12
chr1	40230551	40230591	91
chr1	40237551	40237631	10
chr1	40240611	40240651	102
chr1	40252771	40252811	41
chr1	40266031	40266071	24
chr1	40294591	40294631	85
chr1	40294851	40294891	12
chr1	40295071	40295111	194
chr1	40295371	40295511	24
chr1	40306251	40306291	18
chr1	40322011	40322051	161
chr1	40322731	40322771	35
chr1	40324471	40324611	16
chr1	40324831	40324871	25
chr1	40330571	40330631	32
chr1	40346611	40346671	12
chr1	40354851	40354891	70
chr1	40356051	40356091	89
chr1	40381491	40381551	27
chr1	40392711	40392751	102
chr1	40403511	40403551	11
chr1	40404531	40404571	15
chr1	40404831	40404971	44
chr1	40410031	40410091	24
chr1	40411371	40411431	32
chr1	40412631	40412691	11
chr1	40413871	40413911	11
chr1	40415691	40415731	57
chr1	40430311	40430371	9
chr1	40444891	40444951	24
chr1	40469631	40469691	9
chr1	40473851	40473891	97
chr1	40475831	40475891	39
chr1	40515271	40515331	11
chr1	40530131	40530191	10
chr1	40585531	40585571	17
chr1	40600571	40600611	263
chr1	40600831	40600931	25
chr1	40635111	40635151	27
chr1	40786651	40786691	13
chr1	42698391	42698431	17
chr1	42710451	42710491	11
chr1	42714431	42714491	13
chr1	42763631	42763671	97
chr1	42769191	42769231	12
chr1	42769511	42769551	13
chr1	42770671	42770771	11
chr1	42851191	42851231	98
chr1	42866231	42866271	42
chr1	43070811	43070851	10
chr1	43092671	43092731	11
chr1	43098631	43098751	16
chr1	43110671	43110751	9
chr1	43139691	43139731	9
chr1	43234671	43234711	15
chr1	43241311	43241351	11
chr1	43254311	43254351	16
chr1	43321531	43321591	12
chr1	43321671	43321731	9
chr1	43445391	43445431	33
chr1	43457191	43457251	11
chr1	43462951	43462991	79
chr1	43465071	43465111	48
chr1	43466791	43466831	11
chr1	43467071	43467111	61
chr1	43468571	43468651	9
chr1	43472131	43472171	21
chr1	43472251	43472291	23
chr1	43474211	43474251	85
chr1	43474511	43474651	29
chr1	43478111	43478151	10
chr1	43501491	43501551	12
chr1	43507951	43507991	42
chr1	43520751	43520791	14
chr1	43521171	43521211	121
chr1	43535691	43535751	33
chr1	43535891	43535931	71
chr1	43554471	43554551	22
chr1	43589151	43589191	44
chr1	43693391	43693431	11
chr1	43804371	43804411	34
chr1	43811171	43811211	41
chr1	43811891	43811951	16
chr1	43827851	43827911	20
chr1	43827991	43828071	18
chr1	43843511	43843551	17
chr1	43843791	43843851	10
chr1	43912051	43912111	15
chr1	43912411	43912471	14
chr1	43912811	43912851	10
chr1	43917091	43917131	22
chr1	43933631	43933671	85
chr1	43933971	43934031	30
chr1	43934831	43934871	17
chr1	43939511	43939551	14
chr1	43972451	43972491	15
chr1	44042331	44042371	13
chr1	44100991	44101031	25
chr1	44102291	44102331	16
chr1	44118911	44118971	13
chr1	44119311	44119391	17
chr1	44119891	44119991	11
chr1	44125811	44125871	15
chr1	44147891	44147931	35
chr1	44162031	44162071	12
chr1	44162531	44162631	13
chr1	45108071	45108111	9
chr1	45783451	45783491	9
chr1	45794931	45794991	15
chr1	45795191	45795231	58
chr1	45795411	45795451	52
chr1	45826351	45826411	23
chr1	45826931	45826971	82
chr1	45838371	45838451	16
chr1	45858231	45858271	111
chr1	45860651	45860711	22
chr1	45865831	45865871	43
chr1	45868111	45868151	10
chr1	45868631	45868691	16
chr1	45868891	45868931	78
chr1	45880991	45881031	81
chr1	45881391	45881431	34
chr1	45881611	45881651	56
chr1	45908991	45909051	18
chr1	46832151	46832191	12
chr1	46849971	46850031	30
chr1	46852891	46852971	34
chr1	46853431	46853511	9
chr1	46854211	46854251	10
chr1	46858791	46858831	13
chr1	46860231	46860271	11
chr1	46860611	46860691	11
chr1	46873591	46873651	11
chr1	46873931	46873971	118
chr1	46894591	46894631	19
chr1	46905891	46905931	133
chr1	46906291	46906331	12
chr1	46921791	46921831	373
chr1	46927331	46927371	68
chr1	51459191	51459251	15
chr1	51466791	51466831	10
chr1	51475011	51475051	14
chr1	51475351	51475391	11
chr1	51476571	51476611	147
chr1	51478471	51478511	74
chr1	51480611	51480651	257
chr1	51487211	51487251	15
chr1	51491971	51492011	11
chr1	51494071	51494111	113
chr1	51494531	51494591	35
chr1	51498191	51498231	9
chr1	51499131	51499171	24
chr1	51500271	51500311	57
chr1	51501511	51501551	82
chr1	51502511	51502551	20
chr1	51509151	51509191	190
